State,County,FIPS,Adult smoking,Excessive drinking
NC,Alamance County,37001,0.238,0.123
NC,Alamance County,37001,0.238,0.123
NC,Alexander County,37003,0.26,0.119
NC,Alexander County,37003,0.26,0.119
NC,Alleghany County,37005,0.271,0.165
NC,Alleghany County,37005,0.271,0.165
NC,Anson County,37007,0.198,
NC,Anson County,37007,0.198,
NC,Ashe County,37009,0.24,0.086
NC,Ashe County,37009,0.24,0.086
NC,Avery County,37011,0.245,
NC,Avery County,37011,0.245,
NC,Beaufort County,37013,0.283,
NC,Beaufort County,37013,0.283,
NC,Bertie County,37015,0.185,
NC,Bertie County,37015,0.185,
NC,Bladen County,37017,0.206,
NC,Bladen County,37017,0.206,
NC,Brunswick County,37019,0.214,0.147
NC,Brunswick County,37019,0.214,0.147
NC,Buncombe County,37021,0.2,0.136
NC,Buncombe County,37021,0.2,0.136
NC,Burke County,37023,0.242,0.075
NC,Burke County,37023,0.242,0.075
NC,Cabarrus County,37025,0.193,0.142
NC,Cabarrus County,37025,0.193,0.142
NC,Caldwell County,37027,0.225,0.091
NC,Caldwell County,37027,0.225,0.091
NC,Camden County,37029,0.172,
NC,Camden County,37029,0.172,
NC,Carteret County,37031,0.214,0.21
NC,Carteret County,37031,0.214,0.21
NC,Caswell County,37033,0.358,
NC,Caswell County,37033,0.358,
NC,Catawba County,37035,0.225,0.126
NC,Catawba County,37035,0.225,0.126
NC,Chatham County,37037,0.204,0.172
NC,Chatham County,37037,0.204,0.172
NC,Cherokee County,37039,0.251,0.091
NC,Cherokee County,37039,0.251,0.091
NC,Chowan County,37041,0.299,
NC,Chowan County,37041,0.299,
NC,Clay County,37043,0.207,
NC,Clay County,37043,0.207,
NC,Cleveland County,37045,0.243,0.096
NC,Cleveland County,37045,0.243,0.096
NC,Columbus County,37047,0.23,
NC,Columbus County,37047,0.23,
NC,Craven County,37049,0.221,0.119
NC,Craven County,37049,0.221,0.119
NC,Cumberland County,37051,0.221,0.113
NC,Cumberland County,37051,0.221,0.113
NC,Currituck County,37053,0.264,0.274
NC,Currituck County,37053,0.264,0.274
NC,Dare County,37055,0.309,0.284
NC,Dare County,37055,0.309,0.284
NC,Davidson County,37057,0.257,0.145
NC,Davidson County,37057,0.257,0.145
NC,Davie County,37059,0.225,0.122
NC,Davie County,37059,0.225,0.122
NC,Duplin County,37061,0.204,0.121
NC,Duplin County,37061,0.204,0.121
NC,Durham County,37063,0.136,0.149
NC,Durham County,37063,0.136,0.149
NC,Edgecombe County,37065,0.209,
NC,Edgecombe County,37065,0.209,
NC,Forsyth County,37067,0.197,0.119
NC,Forsyth County,37067,0.197,0.119
NC,Franklin County,37069,0.267,0.166
NC,Franklin County,37069,0.267,0.166
NC,Gaston County,37071,0.258,0.123
NC,Gaston County,37071,0.258,0.123
NC,Gates County,37073,,
NC,Gates County,37073,,
NC,Graham County,37075,0.224,
NC,Graham County,37075,0.224,
NC,Granville County,37077,0.228,0.109
NC,Granville County,37077,0.228,0.109
NC,Greene County,37079,,
NC,Greene County,37079,,
NC,Guilford County,37081,0.167,0.134
NC,Guilford County,37081,0.167,0.134
NC,Halifax County,37083,0.213,0.061
NC,Halifax County,37083,0.213,0.061
NC,Harnett County,37085,0.257,0.129
NC,Harnett County,37085,0.257,0.129
NC,Haywood County,37087,0.261,0.132
