State,County,FIPS,Children in poverty,Drinking water violations,Severe housing problems,Food insecurity
NC,Alamance County,37001,0.292,0.019,0.167,0.174
NC,Alamance County,37001,0.271,0.305,0.167,0.171
NC,Alexander County,37003,0.25,0.0,0.134,0.156
NC,Alexander County,37003,0.229,0.0,0.142,0.159
NC,Alleghany County,37005,0.347,0.065,0.15,0.174
NC,Alleghany County,37005,0.326,0.063,0.144,0.164
NC,Anson County,37007,0.366,0.0,0.157,0.232
NC,Anson County,37007,0.379,0.0,0.164,0.227
NC,Ashe County,37009,0.31,0.0,0.142,0.157
NC,Ashe County,37009,0.332,0.052,0.142,0.163
NC,Avery County,37011,0.324,0.155,0.165,0.167
NC,Avery County,37011,0.316,0.155,0.15,0.168
NC,Beaufort County,37013,0.303,0.0,0.156,0.191
NC,Beaufort County,37013,0.326,0.0,0.168,0.192
NC,Bertie County,37015,0.378,0.0,0.189,0.248
NC,Bertie County,37015,0.369,0.0,0.2,0.241
NC,Bladen County,37017,0.35,0.002,0.18,0.224
NC,Bladen County,37017,0.374,0.002,0.179,0.22
NC,Brunswick County,37019,0.301,0.017,0.171,0.16
NC,Brunswick County,37019,0.281,0.246,0.179,0.159
NC,Buncombe County,37021,0.26,0.002,0.15,0.148
NC,Buncombe County,37021,0.22,0.002,0.154,0.155
NC,Burke County,37023,0.272,0.0,0.127,0.174
NC,Burke County,37023,0.311,0.0,0.133,0.169
NC,Cabarrus County,37025,0.189,0.001,0.131,0.152
NC,Cabarrus County,37025,0.17,0.001,0.147,0.147
NC,Caldwell County,37027,0.286,0.0,0.128,0.172
NC,Caldwell County,37027,0.254,0.0,0.134,0.172
NC,Camden County,37029,0.145,0.0,0.121,0.124
NC,Camden County,37029,0.139,0.0,0.137,0.122
NC,Carteret County,37031,0.264,0.082,0.157,0.144
NC,Carteret County,37031,0.241,0.067,0.159,0.15
NC,Caswell County,37033,0.306,0.774,0.162,0.197
NC,Caswell County,37033,0.332,0.774,0.16,0.193
NC,Catawba County,37035,0.289,0.0,0.126,0.167
NC,Catawba County,37035,0.249,0.0,0.128,0.163
